文献ID,大纲,综字数,述字数
,引言,186,152
10.3390/a17110492,任务导向通信,32,22
10.1109/mcom.001.2300155,任务导向通信,67,45
10.1109/iccworkshops59551.2024.10615907,任务导向通信,49,33
10.1109/wcnc55385.2023.10118916,任务导向通信,32,22
10.23919/jcc.fa.2024-0024.202407,任务导向通信,33,23
10.1109/jiot.2025.3619116,低功耗与断续网络,58,39
10.1007/s10922-024-09881-1,低功耗与断续网络,54,37
10.3390/s23010099,低功耗与断续网络,33,23
10.1109/access.2023.3334638,低功耗与断续网络,27,19
10.1109/iccubea54992.2022.10011041,低功耗与断续网络,26,19
10.1080/00051144.2022.2095830,低功耗与断续网络,26,18
10.1145/3628353.3628545,低功耗与断续网络,64,44
10.3390/s24020637,异步多模态异常,31,22
10.1109/tpami.2025.3592089,异步多模态异常,29,20
10.1145/3447548.3467174,异步多模态异常,69,46
10.1109/iccv51070.2023.02013,异步多模态异常,59,40
10.1145/3551626.3564965,异步多模态异常,55,37
10.1109/icme59968.2025.11210144,异步多模态异常,30,21
10.1109/jsen.2023.3339335,异步多模态异常,25,17
10.1109/cvprw67362.2025.00389,数据集与评价,40,28
10.1016/j.dib.2025.112207,数据集与评价,39,28
10.1109/access.2024.3395991,数据集与评价,39,28
10.1109/cvpr52734.2025.01417,数据集与评价,37,27
10.3390/fi16110403,漂移与可信预警,55,38
10.1007/s11280-023-01181-z,漂移与可信预警,49,34
10.1609/aaai.v39i18.34105,漂移与可信预警,50,34
10.1109/lsens.2025.3554491,漂移与可信预警,32,22
10.3390/s24248112,漂移与可信预警,27,19
10.1007/s11063-022-11015-0,漂移与可信预警,50,34
10.1109/swc62898.2024.00091,漂移与可信预警,39,27
10.1109/icbda65366.2025.11211409,漂移与可信预警,28,20
10.1109/access.2023.3295495,物流与仓储感知,42,29
10.1038/s41598-025-10512-1,物流与仓储感知,38,27
10.1002/eng2.13021,物流与仓储感知,35,25
10.1109/jiot.2024.3468950,资源受限边缘智能,49,33
10.1109/tii.2024.3421600,资源受限边缘智能,42,29
10.1109/tgcn.2023.3335342,资源受限边缘智能,36,25
10.1109/percom59722.2024.10494426,边云协同推理,61,41
10.1109/mwc.009.2400219,边云协同推理,52,36
10.1109/tcc.2024.3361858,边云协同推理,42,29
10.1109/icc51166.2024.10622954,边云协同推理,47,32
10.1109/jiot.2025.3580736,边云协同推理,39,27
10.1109/access.2025.3578009,边云协同推理,36,25
10.1109/tase.2025.3557934,边云协同推理,29,20
10.1109/ojcoms.2024.3382265,边云协同推理,30,21
,讨论,186,152
,展望,186,152
,结论,186,152
